input_curvature,geometry,edge_weight_variance,mi_stats,distance_stats,gromov_delta_range,mean_distance_range,filename
13.0,hyperbolic,,"{'mean_mi': np.float64(0.10119234409150868), 'std_mi': np.float64(0.002531947528199758), 'max_mi': np.float64(0.10985650454110601), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.00985650454110601), 'mi_variance': np.float64(6.410758285556865e-06)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n7_geomH_curv13_ibm_brisbane_TPWZFP.json
13.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv13_ibm_brisbane_WBWTPU.json
13.0,hyperbolic,,"{'mean_mi': np.float64(0.09684545474828243), 'std_mi': np.float64(0.1485402593899851), 'max_mi': np.float64(0.792458087592854), 'min_mi': np.float64(0.0001122517013179003), 'mi_range': np.float64(0.7923458358915361), 'mi_variance': np.float64(0.02206420865964406)}","{'mean_distance': np.float64(2.825508892323173), 'std_distance': np.float64(1.3868132418524373), 'max_distance': np.float64(5.014189505580186), 'min_distance': np.float64(0.23261566094739736), 'distance_range': np.float64(4.7815738446327885), 'distance_variance': np.float64(1.9232509677772667)}",[],[],results_n7_geomH_curv13_simulator_U93E8M.json
13.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv13_simulator_WAOQ61.json
14.0,hyperbolic,,"{'mean_mi': np.float64(0.10219986131018982), 'std_mi': np.float64(0.0030741148872198113), 'max_mi': np.float64(0.1096563203307456), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.009656320330745594), 'mi_variance': np.float64(9.450182339826473e-06)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n7_geomH_curv14_ibm_brisbane_ECQ4HC.json
14.0,hyperbolic,,"{'mean_mi': np.float64(0.1752987862715941), 'std_mi': np.float64(0.1126262854334674), 'max_mi': np.float64(0.4375328178657356), 'min_mi': np.float64(0.06518811708280259), 'mi_range': np.float64(0.372344700782933), 'mi_variance': np.float64(0.012684680170540868)}","{'mean_distance': np.float64(1.8487133666006828), 'std_distance': np.float64(0.7884780071366659), 'max_distance': np.float64(3.819039823588324), 'min_distance': np.float64(0.8266035637332086), 'distance_range': np.float64(2.9924362598551153), 'distance_variance': np.float64(0.6216975677382083)}",[],[],results_n7_geomH_curv14_simulator_OJ2EY6.json
1.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv15_ibm_FBFXKJ.json
1.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv15_ibm_K2E2G5.json
1.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv15_ibm_V0SFHQ.json
1.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv15_ibm_ZHSGNZ.json
16.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv16_ibm_brisbane_3JSJCI.json
16.0,hyperbolic,,"{'mean_mi': np.float64(0.09999999999999998), 'std_mi': np.float64(2.7755575615628914e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(7.703719777548943e-34)}","{'mean_distance': np.float64(0.0052654580503721194), 'std_distance': np.float64(0.0028879601107507785), 'max_distance': np.float64(0.009275772881973164), 'min_distance': np.float64(0.00024052344284503435), 'distance_range': np.float64(0.00903524943912813), 'distance_variance': np.float64(8.340313601287648e-06)}",[],[],results_n7_geomH_curv16_ibm_brisbane_IHJ8W4.json
17.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv17_ibm_brisbane_8UYNOJ.json
17.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv17_ibm_brisbane_E7GZGC.json
17.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv17_ibm_brisbane_EQG3HS.json
2.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv20_ibm_2IL18F.json
2.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv20_ibm_HUL7IR.json
2.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv20_ibm_IMUTH4.json
2.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv20_ibm_WLZJNK.json
2.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv25_ibm_6THAW5.json
2.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv25_ibm_BR9RDF.json
2.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv25_ibm_FXV38R.json
2.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv25_ibm_P86UK1.json
2.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv25_ibm_WPVGD5.json
2.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv25_sim_GRRAFN.json
3.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv30_ibm_DDKN75.json
3.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv30_ibm_M618I1.json
3.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv30_ibm_P0P7HR.json
3.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv30_ibm_XB95FH.json
3.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv3_ibm_brisbane_2HZKMH.json
